Fiscal Year,TIF Number,TIF District,Type,Activity,Amount
2002,T-111,105th/Vincennes,Revenues,Tax revenue,0
2009,T-111,105th/Vincennes,Revenues,Tax revenue,175776
2006,T-111,105th/Vincennes,Revenues,Tax revenue,130723
2001,T-111,105th/Vincennes,Revenues,Tax revenue,0
2007,T-111,105th/Vincennes,Revenues,Tax revenue,169551
2004,T-111,105th/Vincennes,Revenues,Tax revenue,28035
2005,T-111,105th/Vincennes,Revenues,Tax revenue,141074
2003,T-111,105th/Vincennes,Revenues,Tax revenue,8566
2008,T-111,105th/Vincennes,Revenues,Tax revenue,234905
2012,T-111,105th/Vincennes,Revenues,Tax revenue,352585
2010,T-111,105th/Vincennes,Revenues,Tax revenue,321582
2011,T-111,105th/Vincennes,Revenues,Tax revenue,342130
2013,T-111,105th/Vincennes,Revenues,Tax revenue,304844
2014,T-111,105th/Vincennes,Revenues,Tax revenue,133001
2007,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,535843
2004,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,306048
2009,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,629854
2001,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,239
2003,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,187463
2006,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,381777
2002,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,80624
2010,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,656446
2005,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,335962
2008,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,602946
2014,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,525591
2012,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,705857
2011,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,785613
2013,T-073,111th Street/Kedzie Avenue Business District,Revenues,Tax revenue,511949
2003,T-114,119th and Halsted,Revenues,Tax revenue,68524
2006,T-114,119th and Halsted,Revenues,Tax revenue,248722
2008,T-114,119th and Halsted,Revenues,Tax revenue,761726
2005,T-114,119th and Halsted,Revenues,Tax revenue,279345
2004,T-114,119th and Halsted,Revenues,Tax revenue,230781
2007,T-114,119th and Halsted,Revenues,Tax revenue,679817
2002,T-114,119th and Halsted,Revenues,Tax revenue,0
2009,T-114,119th and Halsted,Revenues,Tax revenue,624946
2013,T-114,119th and Halsted,Revenues,Tax revenue,570342
2014,T-114,119th and Halsted,Revenues,Tax revenue,575934
2012,T-114,119th and Halsted,Revenues,Tax revenue,478354
2011,T-114,119th and Halsted,Revenues,Tax revenue,823604
2010,T-114,119th and Halsted,Revenues,Tax revenue,1054003
2007,T-125,119th/I-57,Revenues,Tax revenue,755920
2008,T-125,119th/I-57,Revenues,Tax revenue,957931
2005,T-125,119th/I-57,Revenues,Tax revenue,366233
2009,T-125,119th/I-57,Revenues,Tax revenue,1114477
2004,T-125,119th/I-57,Revenues,Tax revenue,210800
2006,T-125,119th/I-57,Revenues,Tax revenue,493178
2003,T-125,119th/I-57,Revenues,Tax revenue,48869
2002,T-125,119th/I-57,Revenues,Tax revenue,0
2014,T-125,119th/I-57,Revenues,Tax revenue,2459698
2013,T-125,119th/I-57,Revenues,Tax revenue,1841441
2011,T-125,119th/I-57,Revenues,Tax revenue,2554300
2010,T-125,119th/I-57,Revenues,Tax revenue,1755486
2012,T-125,119th/I-57,Revenues,Tax revenue,2520330
2007,T-010,126th and Torrence,Revenues,Tax revenue,919229
2005,T-010,126th and Torrence,Revenues,Tax revenue,529468
2004,T-010,126th and Torrence,Revenues,Tax revenue,331863
2002,T-010,126th and Torrence,Revenues,Tax revenue,0
2006,T-010,126th and Torrence,Revenues,Tax revenue,518670
2003,T-010,126th and Torrence,Revenues,Tax revenue,25745
2010,T-010,126th and Torrence,Revenues,Tax revenue,714902
2001,T-010,126th and Torrence,Revenues,Tax revenue,0
2009,T-010,126th and Torrence,Revenues,Tax revenue,926071
2008,T-010,126th and Torrence,Revenues,Tax revenue,957819
2014,T-010,126th and Torrence,Revenues,Tax revenue,954516
2011,T-010,126th and Torrence,Revenues,Tax revenue,762889
2012,T-010,126th and Torrence,Revenues,Tax revenue,668885
2013,T-010,126th and Torrence,Revenues,Tax revenue,899846
2009,T-159,134th and Avenue K,Revenues,Tax revenue,0
2008,T-159,134th and Avenue K,Revenues,Tax revenue,0
2012,T-159,134th and Avenue K,Revenues,Tax revenue,0
2014,T-159,134th and Avenue K,Revenues,Tax revenue,0
2010,T-159,134th and Avenue K,Revenues,Tax revenue,2931
2011,T-159,134th and Avenue K,Revenues,Tax revenue,22588
2013,T-159,134th and Avenue K,Revenues,Tax revenue,700
2001,T-072,24th/Michigan,Revenues,Tax revenue,285651
2007,T-072,24th/Michigan,Revenues,Tax revenue,568889
2004,T-072,24th/Michigan,Revenues,Tax revenue,291497
2005,T-072,24th/Michigan,Revenues,Tax revenue,255415
2010,T-072,24th/Michigan,Revenues,Tax revenue,1333433
2009,T-072,24th/Michigan,Revenues,Tax revenue,1109711
2003,T-072,24th/Michigan,Revenues,Tax revenue,301996
2002,T-072,24th/Michigan,Revenues,Tax revenue,308312
2006,T-072,24th/Michigan,Revenues,Tax revenue,250323
2008,T-072,24th/Michigan,Revenues,Tax revenue,646099
2012,T-072,24th/Michigan,Revenues,Tax revenue,1157490
2011,T-072,24th/Michigan,Revenues,Tax revenue,1331578
2014,T-072,24th/Michigan,Revenues,Tax revenue,984113
2013,T-072,24th/Michigan,Revenues,Tax revenue,1075031
2009,T-141,26th and King Drive,Revenues,Tax revenue,185668
2006,T-141,26th and King Drive,Revenues,Tax revenue,0
2007,T-141,26th and King Drive,Revenues,Tax revenue,0
2008,T-141,26th and King Drive,Revenues,Tax revenue,55854
2012,T-141,26th and King Drive,Revenues,Tax revenue,810162
2011,T-141,26th and King Drive,Revenues,Tax revenue,935460
2010,T-141,26th and King Drive,Revenues,Tax revenue,1018425
2013,T-141,26th and King Drive,Revenues,Tax revenue,607202
2014,T-141,26th and King Drive,Revenues,Tax revenue,641682
2004,T-051,26th/Kostner,Revenues,Tax revenue,0
2001,T-051,26th/Kostner,Revenues,Tax revenue,18959
2006,T-051,26th/Kostner,Revenues,Tax revenue,42678
2003,T-051,26th/Kostner,Revenues,Tax revenue,10931
2007,T-051,26th/Kostner,Revenues,Tax revenue,112892
2008,T-051,26th/Kostner,Revenues,Tax revenue,0
2005,T-051,26th/Kostner,Revenues,Tax revenue,20166
2002,T-051,26th/Kostner,Revenues,Tax revenue,21863
2005,T-001,35th/Halsted,Revenues,Tax revenue,1817566
2007,T-001,35th/Halsted,Revenues,Tax revenue,3471585
2006,T-001,35th/Halsted,Revenues,Tax revenue,2832760
2001,T-001,35th/Halsted,Revenues,Tax revenue,502261
2010,T-001,35th/Halsted,Revenues,Tax revenue,4702898
2008,T-001,35th/Halsted,Revenues,Tax revenue,3916557
2004,T-001,35th/Halsted,Revenues,Tax revenue,1217624
2003,T-001,35th/Halsted,Revenues,Tax revenue,998048
2002,T-001,35th/Halsted,Revenues,Tax revenue,726629
2009,T-001,35th/Halsted,Revenues,Tax revenue,4364671
2013,T-001,35th/Halsted,Revenues,Tax revenue,4350228
2011,T-001,35th/Halsted,Revenues,Tax revenue,5786159
2012,T-001,35th/Halsted,Revenues,Tax revenue,5273855
2014,T-001,35th/Halsted,Revenues,Tax revenue,4540874
2004,T-131,35th/State,Revenues,Tax revenue,272069
2006,T-131,35th/State,Revenues,Tax revenue,240890
2008,T-131,35th/State,Revenues,Tax revenue,417845
2007,T-131,35th/State,Revenues,Tax revenue,387946
2009,T-131,35th/State,Revenues,Tax revenue,712701
2005,T-131,35th/State,Revenues,Tax revenue,159517
2014,T-131,35th/State,Revenues,Tax revenue,1521272
2011,T-131,35th/State,Revenues,Tax revenue,2395186
2010,T-131,35th/State,Revenues,Tax revenue,1224717
2012,T-131,35th/State,Revenues,Tax revenue,470515
2013,T-131,35th/State,Revenues,Tax revenue,1348284
2009,T-079,35th and Wallace,Revenues,Tax revenue,564873
2007,T-079,35th and Wallace,Revenues,Tax revenue,367243
2010,T-079,35th and Wallace,Revenues,Tax revenue,636323
2008,T-079,35th and Wallace,Revenues,Tax revenue,505118
2004,T-079,35th and Wallace,Revenues,Tax revenue,129937
2005,T-079,35th and Wallace,Revenues,Tax revenue,112767
2003,T-079,35th and Wallace,Revenues,Tax revenue,22560
2002,T-079,35th and Wallace,Revenues,Tax revenue,38544
2006,T-079,35th and Wallace,Revenues,Tax revenue,194069
2001,T-079,35th and Wallace,Revenues,Tax revenue,25692
2014,T-079,35th and Wallace,Revenues,Tax revenue,656208
2011,T-079,35th and Wallace,Revenues,Tax revenue,906197
2012,T-079,35th and Wallace,Revenues,Tax revenue,722627
2013,T-079,35th and Wallace,Revenues,Tax revenue,651397
2004,T-132,40th/State,Revenues,Tax revenue,0
2009,T-132,40th/State,Revenues,Tax revenue,0
2006,T-132,40th/State,Revenues,Tax revenue,0
2008,T-132,40th/State,Revenues,Tax revenue,0
2005,T-132,40th/State,Revenues,Tax revenue,0
2007,T-132,40th/State,Revenues,Tax revenue,0
2012,T-132,40th/State,Revenues,Tax revenue,0
2010,T-132,40th/State,Revenues,Tax revenue,0
2011,T-132,40th/State,Revenues,Tax revenue,0
2003,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,139768
2010,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,167445
2005,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,162848
2006,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,165618
2008,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,166006
2009,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,205432
2004,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,147647
2001,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,122841
2002,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,125450
2007,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,141752
2012,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,163146
2013,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,156175
2011,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,223086
2014,T-002,"Forty-first Street and Dr. Martin Luther King, Jr. Drive",Revenues,Tax revenue,168003
2008,T-055,43rd/Cottage Grove,Revenues,Tax revenue,2845099
2002,T-055,43rd/Cottage Grove,Revenues,Tax revenue,450344
2010,T-055,43rd/Cottage Grove,Revenues,Tax revenue,2748224
2007,T-055,43rd/Cottage Grove,Revenues,Tax revenue,2067732
2005,T-055,43rd/Cottage Grove,Revenues,Tax revenue,1019839
2001,T-055,43rd/Cottage Grove,Revenues,Tax revenue,243159
2006,T-055,43rd/Cottage Grove,Revenues,Tax revenue,1373349
2003,T-055,43rd/Cottage Grove,Revenues,Tax revenue,636767
2004,T-055,43rd/Cottage Grove,Revenues,Tax revenue,848979
2009,T-055,43rd/Cottage Grove,Revenues,Tax revenue,2899227
2011,T-055,43rd/Cottage Grove,Revenues,Tax revenue,3030411
2012,T-055,43rd/Cottage Grove,Revenues,Tax revenue,2719657
2013,T-055,43rd/Cottage Grove,Revenues,Tax revenue,2168701
2014,T-055,43rd/Cottage Grove,Revenues,Tax revenue,2212285
2004,T-003,43rd/Damen,Revenues,Tax revenue,147104
2001,T-003,43rd/Damen,Revenues,Tax revenue,120126
2005,T-003,43rd/Damen,Revenues,Tax revenue,210560
2008,T-003,43rd/Damen,Revenues,Tax revenue,64025
2002,T-003,43rd/Damen,Revenues,Tax revenue,103477
2006,T-003,43rd/Damen,Revenues,Tax revenue,153100
2003,T-003,43rd/Damen,Revenues,Tax revenue,108604
2007,T-003,43rd/Damen,Revenues,Tax revenue,134813
2006,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,146622
2003,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,17580
2004,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,27480
2007,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,147340
2009,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,162939
2005,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,137279
2002,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,0
2008,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,151541
2010,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,74406
2012,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,93342
2013,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,61130
2011,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,72452
2014,T-120,45th/Western Industrial Park Conservation Area,Revenues,Tax revenue,20702
2008,T-117,47th/Ashland,Revenues,Tax revenue,2829773
2004,T-117,47th/Ashland,Revenues,Tax revenue,1039881
2005,T-117,47th/Ashland,Revenues,Tax revenue,1226082
2009,T-117,47th/Ashland,Revenues,Tax revenue,3133417
2007,T-117,47th/Ashland,Revenues,Tax revenue,2442747
2003,T-117,47th/Ashland,Revenues,Tax revenue,432051
2002,T-117,47th/Ashland,Revenues,Tax revenue,0
2006,T-117,47th/Ashland,Revenues,Tax revenue,1552029
2011,T-117,47th/Ashland,Revenues,Tax revenue,3000744
2014,T-117,47th/Ashland,Revenues,Tax revenue,1957476
2012,T-117,47th/Ashland,Revenues,Tax revenue,2550635
2010,T-117,47th/Ashland,Revenues,Tax revenue,2976421
2013,T-117,47th/Ashland,Revenues,Tax revenue,1989315
2005,T-121,47th/Halsted,Revenues,Tax revenue,1309704
2003,T-121,47th/Halsted,Revenues,Tax revenue,234832
2008,T-121,47th/Halsted,Revenues,Tax revenue,3169208
2002,T-121,47th/Halsted,Revenues,Tax revenue,0
2006,T-121,47th/Halsted,Revenues,Tax revenue,1391335
2009,T-121,47th/Halsted,Revenues,Tax revenue,3207383
2007,T-121,47th/Halsted,Revenues,Tax revenue,2377506
2004,T-121,47th/Halsted,Revenues,Tax revenue,1033498
2013,T-121,47th/Halsted,Revenues,Tax revenue,2331137
2010,T-121,47th/Halsted,Revenues,Tax revenue,3085337
2012,T-121,47th/Halsted,Revenues,Tax revenue,3041918
2014,T-121,47th/Halsted,Revenues,Tax revenue,2379634
2011,T-121,47th/Halsted,Revenues,Tax revenue,3780339
2006,T-118,47th/King Drive,Revenues,Tax revenue,3368139
2008,T-118,47th/King Drive,Revenues,Tax revenue,7825170
2004,T-118,47th/King Drive,Revenues,Tax revenue,2010067
2003,T-118,47th/King Drive,Revenues,Tax revenue,295526
2007,T-118,47th/King Drive,Revenues,Tax revenue,5584374
2009,T-118,47th/King Drive,Revenues,Tax revenue,8146598
2002,T-118,47th/King Drive,Revenues,Tax revenue,0
2005,T-118,47th/King Drive,Revenues,Tax revenue,2960649
2013,T-118,47th/King Drive,Revenues,Tax revenue,5761473
2011,T-118,47th/King Drive,Revenues,Tax revenue,8932226
2012,T-118,47th/King Drive,Revenues,Tax revenue,7161911
2014,T-118,47th/King Drive,Revenues,Tax revenue,6083572
2010,T-118,47th/King Drive,Revenues,Tax revenue,7830248
2005,T-136,47th/State,Revenues,Tax revenue,499963
2006,T-136,47th/State,Revenues,Tax revenue,630488
2004,T-136,47th/State,Revenues,Tax revenue,0
2009,T-136,47th/State,Revenues,Tax revenue,1754378
2008,T-136,47th/State,Revenues,Tax revenue,1628847
2007,T-136,47th/State,Revenues,Tax revenue,1164436
2011,T-136,47th/State,Revenues,Tax revenue,1770200
2014,T-136,47th/State,Revenues,Tax revenue,1137051
2013,T-136,47th/State,Revenues,Tax revenue,1123408
2012,T-136,47th/State,Revenues,Tax revenue,1731818
2010,T-136,47th/State,Revenues,Tax revenue,1728338
2002,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,155186
2007,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,385900
2004,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,201869
2009,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,486468
2006,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,258109
2010,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,411313
2003,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,193942
2008,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,403663
2005,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,229968
2001,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,106134
2011,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,535343
2014,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,390241
2013,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,379657
2012,T-004,49th Street/St. Lawrence Avenue,Revenues,Tax revenue,457115
2006,T-097,51st/Archer,Revenues,Tax revenue,395114
2002,T-097,51st/Archer,Revenues,Tax revenue,99636
2004,T-097,51st/Archer,Revenues,Tax revenue,404475
2009,T-097,51st/Archer,Revenues,Tax revenue,823055
2007,T-097,51st/Archer,Revenues,Tax revenue,717771
2003,T-097,51st/Archer,Revenues,Tax revenue,168496
2005,T-097,51st/Archer,Revenues,Tax revenue,491251
2001,T-097,51st/Archer,Revenues,Tax revenue,2952
2008,T-097,51st/Archer,Revenues,Tax revenue,779974
2014,T-097,51st/Archer,Revenues,Tax revenue,428257
2011,T-097,51st/Archer,Revenues,Tax revenue,835419
2013,T-097,51st/Archer,Revenues,Tax revenue,467945
2010,T-097,51st/Archer,Revenues,Tax revenue,776957
2012,T-097,51st/Archer,Revenues,Tax revenue,547333
2001,T-105,53rd Street,Revenues,Tax revenue,0
2004,T-105,53rd Street,Revenues,Tax revenue,457218
2005,T-105,53rd Street,Revenues,Tax revenue,455159
2002,T-105,53rd Street,Revenues,Tax revenue,162705
2008,T-105,53rd Street,Revenues,Tax revenue,783194
2006,T-105,53rd Street,Revenues,Tax revenue,576297
2007,T-105,53rd Street,Revenues,Tax revenue,755226
2003,T-105,53rd Street,Revenues,Tax revenue,224392
2009,T-105,53rd Street,Revenues,Tax revenue,834373
2014,T-105,53rd Street,Revenues,Tax revenue,1025942
2011,T-105,53rd Street,Revenues,Tax revenue,935026
2012,T-105,53rd Street,Revenues,Tax revenue,579874
2010,T-105,53rd Street,Revenues,Tax revenue,967252
2013,T-105,53rd Street,Revenues,Tax revenue,419873
2010,T-005,60th and Western,Revenues,Tax revenue,183245
2002,T-005,60th and Western,Revenues,Tax revenue,307966
2004,T-005,60th and Western,Revenues,Tax revenue,348300
2007,T-005,60th and Western,Revenues,Tax revenue,257169
2003,T-005,60th and Western,Revenues,Tax revenue,598855
2006,T-005,60th and Western,Revenues,Tax revenue,307486
2009,T-005,60th and Western,Revenues,Tax revenue,312757
2001,T-005,60th and Western,Revenues,Tax revenue,141805
2005,T-005,60th and Western,Revenues,Tax revenue,316004
2008,T-005,60th and Western,Revenues,Tax revenue,289816
2014,T-005,60th and Western,Revenues,Tax revenue,86444
2012,T-005,60th and Western,Revenues,Tax revenue,356479
2011,T-005,60th and Western,Revenues,Tax revenue,217464
2013,T-005,60th and Western,Revenues,Tax revenue,350082
2009,T-143,63rd/Ashland,Revenues,Tax revenue,0
2008,T-143,63rd/Ashland,Revenues,Tax revenue,0
2006,T-143,63rd/Ashland,Revenues,Tax revenue,0
2007,T-143,63rd/Ashland,Revenues,Tax revenue,0
2010,T-143,63rd/Ashland,Revenues,Tax revenue,0
2011,T-143,63rd/Ashland,Revenues,Tax revenue,1588823
2013,T-143,63rd/Ashland,Revenues,Tax revenue,784829
2012,T-143,63rd/Ashland,Revenues,Tax revenue,1400060
2014,T-143,63rd/Ashland,Revenues,Tax revenue,682833
2006,T-098,63rd/Pulaski,Revenues,Tax revenue,1486426
2005,T-098,63rd/Pulaski,Revenues,Tax revenue,1295548
2001,T-098,63rd/Pulaski,Revenues,Tax revenue,52174
2009,T-098,63rd/Pulaski,Revenues,Tax revenue,2212427
2004,T-098,63rd/Pulaski,Revenues,Tax revenue,1157729
2007,T-098,63rd/Pulaski,Revenues,Tax revenue,2090475
2002,T-098,63rd/Pulaski,Revenues,Tax revenue,474741
2003,T-098,63rd/Pulaski,Revenues,Tax revenue,724188
2008,T-098,63rd/Pulaski,Revenues,Tax revenue,2253566
2010,T-098,63rd/Pulaski,Revenues,Tax revenue,2804016
2014,T-098,63rd/Pulaski,Revenues,Tax revenue,1560518
2011,T-098,63rd/Pulaski,Revenues,Tax revenue,3007628
2013,T-098,63rd/Pulaski,Revenues,Tax revenue,1457197
2012,T-098,63rd/Pulaski,Revenues,Tax revenue,2401905
2008,T-124,67th/Cicero,Revenues,Tax revenue,461076
2007,T-124,67th/Cicero,Revenues,Tax revenue,112755
2009,T-124,67th/Cicero,Revenues,Tax revenue,295057
2002,T-124,67th/Cicero,Revenues,Tax revenue,0
2005,T-124,67th/Cicero,Revenues,Tax revenue,0
2003,T-124,67th/Cicero,Revenues,Tax revenue,0
2004,T-124,67th/Cicero,Revenues,Tax revenue,0
2006,T-124,67th/Cicero,Revenues,Tax revenue,198948
2014,T-124,67th/Cicero,Revenues,Tax revenue,184254
2013,T-124,67th/Cicero,Revenues,Tax revenue,407606
2010,T-124,67th/Cicero,Revenues,Tax revenue,325050
2011,T-124,67th/Cicero,Revenues,Tax revenue,560099
2012,T-124,67th/Cicero,Revenues,Tax revenue,93877
2009,T-138,69th/Ashland,Revenues,Tax revenue,522995
2007,T-138,69th/Ashland,Revenues,Tax revenue,65521
2006,T-138,69th/Ashland,Revenues,Tax revenue,5390
2004,T-138,69th/Ashland,Revenues,Tax revenue,0
2005,T-138,69th/Ashland,Revenues,Tax revenue,1201
2008,T-138,69th/Ashland,Revenues,Tax revenue,690205
2012,T-138,69th/Ashland,Revenues,Tax revenue,520497
2010,T-138,69th/Ashland,Revenues,Tax revenue,518815
2014,T-138,69th/Ashland,Revenues,Tax revenue,586271
2013,T-138,69th/Ashland,Revenues,Tax revenue,456804
2011,T-138,69th/Ashland,Revenues,Tax revenue,579971
2008,T-060,71st/Stony Island,Revenues,Tax revenue,3529913
2005,T-060,71st/Stony Island,Revenues,Tax revenue,1623987
2006,T-060,71st/Stony Island,Revenues,Tax revenue,1963565
2001,T-060,71st/Stony Island,Revenues,Tax revenue,291249
2002,T-060,71st/Stony Island,Revenues,Tax revenue,778686
2010,T-060,71st/Stony Island,Revenues,Tax revenue,4033490
2004,T-060,71st/Stony Island,Revenues,Tax revenue,1693852
2007,T-060,71st/Stony Island,Revenues,Tax revenue,3096452
2009,T-060,71st/Stony Island,Revenues,Tax revenue,3591832
2003,T-060,71st/Stony Island,Revenues,Tax revenue,1293290
2013,T-060,71st/Stony Island,Revenues,Tax revenue,2790021
2011,T-060,71st/Stony Island,Revenues,Tax revenue,4452265
2012,T-060,71st/Stony Island,Revenues,Tax revenue,3321889
2014,T-060,71st/Stony Island,Revenues,Tax revenue,2793166
2008,T-006,72nd and Cicero,Revenues,Tax revenue,476535
2004,T-006,72nd and Cicero,Revenues,Tax revenue,229352
2005,T-006,72nd and Cicero,Revenues,Tax revenue,255556
2006,T-006,72nd and Cicero,Revenues,Tax revenue,281722
2001,T-006,72nd and Cicero,Revenues,Tax revenue,168736
2010,T-006,72nd and Cicero,Revenues,Tax revenue,102840
2002,T-006,72nd and Cicero,Revenues,Tax revenue,162561
2009,T-006,72nd and Cicero,Revenues,Tax revenue,366329
2007,T-006,72nd and Cicero,Revenues,Tax revenue,291359
2003,T-006,72nd and Cicero,Revenues,Tax revenue,196048
2012,T-006,72nd and Cicero,Revenues,Tax revenue,257571
2011,T-006,72nd and Cicero,Revenues,Tax revenue,294402
2005,T-007,73rd and Kedzie,Revenues,Tax revenue,0
2001,T-007,73rd and Kedzie,Revenues,Tax revenue,44
2006,T-007,73rd and Kedzie,Revenues,Tax revenue,0
2007,T-007,73rd and Kedzie,Revenues,Tax revenue,0
2004,T-007,73rd and Kedzie,Revenues,Tax revenue,61086
2009,T-007,73rd and Kedzie,Revenues,Tax revenue,0
2010,T-007,73rd and Kedzie,Revenues,Tax revenue,0
2003,T-007,73rd and Kedzie,Revenues,Tax revenue,97999
2008,T-007,73rd and Kedzie,Revenues,Tax revenue,0
2002,T-007,73rd and Kedzie,Revenues,Tax revenue,39647
2011,T-007,73rd and Kedzie,Revenues,Tax revenue,0
2012,T-007,73rd and Kedzie,Revenues,Tax revenue,0
2009,T-145,73rd/University,Revenues,Tax revenue,951101
2006,T-145,73rd/University,Revenues,Tax revenue,0
2008,T-145,73rd/University,Revenues,Tax revenue,749565
2007,T-145,73rd/University,Revenues,Tax revenue,0
2010,T-145,73rd/University,Revenues,Tax revenue,312221
2013,T-145,73rd/University,Revenues,Tax revenue,117149
2011,T-145,73rd/University,Revenues,Tax revenue,651927
2012,T-145,73rd/University,Revenues,Tax revenue,541682
2014,T-145,73rd/University,Revenues,Tax revenue,92772
2003,T-056,79th Street Corridor,Revenues,Tax revenue,334491
2002,T-056,79th Street Corridor,Revenues,Tax revenue,216163
2008,T-056,79th Street Corridor,Revenues,Tax revenue,867311
2001,T-056,79th Street Corridor,Revenues,Tax revenue,210645
2006,T-056,79th Street Corridor,Revenues,Tax revenue,467976
2004,T-056,79th Street Corridor,Revenues,Tax revenue,330797
2007,T-056,79th Street Corridor,Revenues,Tax revenue,747737
2010,T-056,79th Street Corridor,Revenues,Tax revenue,998154
2009,T-056,79th Street Corridor,Revenues,Tax revenue,922723
2005,T-056,79th Street Corridor,Revenues,Tax revenue,354175
2012,T-056,79th Street Corridor,Revenues,Tax revenue,860531
2011,T-056,79th Street Corridor,Revenues,Tax revenue,1135740
2014,T-056,79th Street Corridor,Revenues,Tax revenue,600042
2013,T-056,79th Street Corridor,Revenues,Tax revenue,590985
2005,T-140,79th/Cicero,Revenues,Tax revenue,0
2006,T-140,79th/Cicero,Revenues,Tax revenue,0
2008,T-140,79th/Cicero,Revenues,Tax revenue,162860
2009,T-140,79th/Cicero,Revenues,Tax revenue,287477
2007,T-140,79th/Cicero,Revenues,Tax revenue,0
2010,T-140,79th/Cicero,Revenues,Tax revenue,526411
2012,T-140,79th/Cicero,Revenues,Tax revenue,647454
2014,T-140,79th/Cicero,Revenues,Tax revenue,535878
2013,T-140,79th/Cicero,Revenues,Tax revenue,375729
2011,T-140,79th/Cicero,Revenues,Tax revenue,541103
2008,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,1363270
2005,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,545418
2002,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,0
2001,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,0
2007,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,1163970
2006,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,714346
2009,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,1349629
2003,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,114629
2004,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,367524
2012,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,1496374
2011,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,2111696
2013,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,1143182
